page,pseudo,fbID,groupe,dateCréation,aimentPageMin,aimentPageMax,followersMin,followersMax,publications,partages,commentaires,likes,love,solidarité,haha,wow,tristesse,colère,interactions,videoNb,videoVues
MédiAT,mediat,#807254436031059,MédiAT,2015-04-05,22692,25067,24836,28550,877,34907,21750,23240,4436,2321,1416,3171,5954,2334,99529,37,336953
"CFLX 95,5 FM",CFLX955,#1568703433379386,ARCQ,2015-04-07,1475,1685,1600,1838,531,173,217,614,139,61,3,10,41,4,1262,4,738
Néomédia Vaudreuil-Soulanges,neomediavaudreuilsoulanges,#1640213986214892,Néomédia,2015-04-15,9904,11219,10825,12347,3874,38742,17249,33321,5347,2022,1192,3921,5528,2359,109681,8,6582
Laval News,LavalNews,#1593594284249965,Hebdo privé indépendant,2015-05-21,?,?,?,?,534,610,212,699,50,7,25,100,172,82,1957,0,0
Journal Ski-se-Dit,skisedit,#100038006095413,AMECQ,2015-06-12,1178,1313,1265,1456,293,497,220,1041,218,46,5,25,19,3,2074,4,1058
Journal communautaire Ensemble pour bâtir,journalensemble,#973312769355811,AMECQ,2015-07-19,527,552,554,578,74,355,67,277,54,13,0,10,29,7,812,0,0
La Vie d'Ici,laviedici,#399365000270605,AMECQ,2015-08-21,200,228,204,236,46,20,38,67,24,2,1,0,1,0,153,0,0
Journal Local Le Félix,JournalLocalLeFelix,#162737674069144,AMECQ,2015-09-25,?,?,?,?,33,83,25,97,7,0,0,4,12,0,228,1,463
Le Courrier de Saint-Hyacinthe,lecourrier1853,#945501695529563,DBC,2015-12-29,13013,14340,13788,15268,172,12632,5527,4803,624,354,321,1331,3330,472,29394,6,38516
CFNJ 99 1 et 88 9,cfnjfm,#1250013895015978,ARCQ,2016-01-21,?,?,?,?,1053,3032,2067,6209,741,692,177,472,838,472,14700,9,10433
Journal Le Sentier,-,#240326016318686,AMECQ,2016-04-02,257,341,274,365,149,95,31,180,21,5,0,1,0,1,334,0,0
L'Écho de St-François,EchoStFrancois,#1162543637110986,AMECQ,2016-04-23,?,?,?,?,16,3,2,10,7,0,0,0,0,0,22,0,0
Journal l'Alliance de Preissac,JournalAlliancePreissac,#1568411916822268,AMECQ,2016-04-23,?,?,?,?,63,47,29,58,9,1,0,0,6,3,153,0,0
Journal Le Lavalois,journallelavalois,#114342975633449,AMECQ,2016-04-23,703,729,718,758,492,227,65,347,50,12,6,121,4,3,835,0,0
Le Saint-Armand,-,#1694470804135904,AMECQ,2016-04-23,?,?,?,?,145,239,19,166,14,6,0,1,4,0,449,0,0
Journal des citoyens,journaldescitoyens,#1103279923079306,AMECQ,2016-05-01,?,?,?,?,233,66,39,301,50,7,0,2,6,6,477,0,0
Radio-Canada Science,radiocanada.science,#1093913860657127,Radio-Canada,2016-09-26,63855,79638,72214,90024,1495,120670,44481,234217,24791,2667,7738,45981,9841,3312,493698,20,111614
Journal le Réveil,j.le.reveil,#172583749853818,AMECQ,2016-10-03,?,?,?,?,17,60,3,11,2,0,0,0,0,0,76,0,0
Espaces autochtones,espacesautochtones,#1244324122290544,Radio-Canada,2016-11-14,30341,42135,33729,48135,2771,97296,26737,266250,65689,51024,1332,6518,31578,19033,565457,110,205791
Le Trait d'Union,traitdunionsaguenay,#1038129076312593,Média sans but lucratif indépendant,2016-12-11,?,?,?,?,147,875,125,913,244,34,0,10,2,0,2203,0,0
Rad,radpointca,#115457012314003,Radio-Canada,2017-02-28,100995,114125,113114,186986,126,62460,14853,134832,11902,8289,1948,2858,3277,2020,242439,11,157625
Journal communautaire Ici Brompton,-,#232163400524114,AMECQ,2017-03-13,?,?,?,?,114,309,87,366,52,7,0,5,31,1,858,0,0
Journal Le Montérégien,journallemonteregien,#788291801340224,Hebdo privé indépendant,2017-04-10,?,?,?,?,854,428,116,873,104,26,3,24,58,25,1657,0,0
Néomédia Valleyfield,neomediavalleyfield,#233209217161953,Néomédia,2017-04-25,1908,2143,2105,2458,3099,7241,954,3646,563,227,61,311,393,200,13596,0,0
Silo 57,silo57,#609085822623089,Québecor,2017-05-23,15796,26285,17443,28811,1323,33985,60017,101612,13289,453,1568,3235,978,412,215549,16,440335
Unpointcinq,unpointcinq,#106365669977985,Site web indépendant,2017-06-16,42378,55963,43734,57592,663,12451,6436,35435,5424,998,529,1357,465,182,63277,29,102688
Journal le Haut-Saint-François,JournalleHSF,#302242856915045,AMECQ,2017-07-17,?,?,?,?,135,299,44,357,47,12,0,4,6,7,776,0,0
Le Montarvillois,Le.Montarvillois,#157830908116505,Site web indépendant,2017-07-24,?,?,?,?,362,448,327,1044,94,38,3,36,86,42,2118,0,0
Journal La Voie du Secteur des Coteaux,journallavoie,#1927281444151151,AMECQ,2017-08-13,?,?,?,?,199,359,94,219,31,5,0,11,6,6,731,0,0
North Shore News,North.Shore.News.QC,#240598129796358,Hebdo privé indépendant,2017-08-31,?,?,?,?,52,6,2,19,1,0,0,5,0,0,33,0,0
Le Devoir - Opinion,ledevoir.opinion,#1819920998300492,Le Devoir,2018-01-25,4734,6283,5360,6956,1890,3908,3902,8368,815,457,1630,252,772,502,20606,3,820
Le Bulletin des agriculteurs,leBulletindesagriculteurs,#948987011917416,Glacier Media,2018-01-29,?,?,?,?,59,75,11,182,17,4,1,0,2,0,292,2,551
L'Information d'affaires d'ici,Informationdaffairesdici,#165928187373972,Gravité média,2018-01-31,?,?,?,?,358,119,16,71,14,2,0,0,3,0,225,0,0
porte-monnaie,portemonnaieca,#1551898518191408,Québecor,2018-03-15,13814,15493,14672,16487,281,4411,2647,3862,514,32,510,157,37,47,12217,3,29102
QUB Radio,qubradio,#2215333488686146,Québecor,2018-08-28,20238,23213,21938,25165,2754,39699,181632,86520,8456,5080,42615,7103,7561,50273,428939,3,3126
Chaleurs Nouvelles,chaleursnouvelles,#2130777093841116,Lexis média,2018-09-04,?,?,?,?,348,2428,266,1370,328,57,17,134,495,50,5145,1,23
Gaspésie Nouvelles,gaspesienouvelles,#514974212276320,Lexis média,2018-09-04,?,?,?,?,205,2485,183,724,90,31,4,31,20,18,3586,2,80
"Radio Communautaire CJTB 93,1",radiocommunautairecjtb,#1976697062384053,ARCQ,2018-12-02,?,?,?,?,529,1015,412,2097,585,27,3,51,57,21,4268,0,0
Bury's Image de Bury,BuryQuebec,#2125943084165156,AMECQ,2019-02-28,?,?,?,?,1105,193,36,325,29,5,0,3,19,6,616,0,0
Ma Côte-Nord,macotenord,#440606566689266,Arsenal Média,2019-04-26,4646,5701,4917,6200,1890,21025,3792,9166,1458,662,874,634,1066,638,39315,0,0
Radio Anticosti inc.,-,#468517777286271,ARCQ,2019-06-12,?,?,?,?,273,310,277,896,162,17,2,15,5,1,1685,8,1023
Mon Victo,-,#113366336708571,Arsenal Média,2019-09-04,2096,2769,2261,3103,2277,8248,2351,5595,589,185,530,567,1666,522,20253,0,0
Journal Le Soir,journallesoir.ca,#102339377820962,Site web indépendant,2019-09-06,4772,6093,5109,6563,5159,21208,13451,30596,3751,1833,1535,2520,4951,2941,82786,5,9682
Ma Beauce,mabeauce,#107599863960179,Arsenal Média,2019-09-09,1127,1690,1183,1810,1826,4308,1289,2464,141,55,436,404,473,416,9986,5,1265
Journal Tam Tam,matapedialesplateaux2.0,#105249570949020,AMECQ,2019-11-22,?,?,?,?,663,841,552,2378,365,47,46,58,39,2,4328,8,983
Le Val-Ouest,levalouest,#110344977272935,AMECQ,2020-03-23,?,?,?,?,506,776,61,921,96,21,9,2,2,8,1896,0,0
Journal La Rafale,JournalLaRafale,#109513637357837,AMECQ,2020-03-24,?,?,?,?,43,96,6,49,12,0,0,0,0,0,163,1,127
Le Journal Point Sud,LeJournalPointSud,#100422905220467,AMECQ,2020-11-06,?,?,?,?,34,15,2,25,12,0,0,0,0,0,54,1,3
Noovo Info,noovo.info,#107549134544919,Bell,2020-12-04,1520,5969,1767,7397,575,9192,3065,10782,2413,1255,256,285,545,370,28163,311,822535
L'écho du Roussillon,echoduroussillon,#102841435292262,Site web indépendant,2021-04-26,?,?,?,?,38,12,2,4,8,0,0,0,1,0,27,0,0
Ma Gaspésie,-,#101374782110703,Arsenal Média,2021-04-27,?,?,?,?,251,769,95,329,40,33,0,35,116,25,1442,0,0
