page,pseudo,fbID,groupe,dateCréation,aimentPageMin,aimentPageMax,followersMin,followersMax,publications,partages,commentaires,likes,love,solidarité,haha,wow,tristesse,colère,interactions,videoNb,videoVues
CityNews Montreal,CityNewsMTL,#423596921055456,Rogers,2013-02-11,32665,39499,42606,53191,13617,88945,80814,121649,21314,4612,7345,7821,26724,17340,376564,2994,4185317
"FM Charlevoix - CIHO 96,3",CIHOFM,#101619366699027,ARCQ,2013-03-20,13450,14689,14046,15331,3440,63505,43013,76330,8588,2478,3250,5433,7619,3277,213493,3,13460
L'écho de Compton,comptonecho,#556247344397017,AMECQ,2013-03-31,?,?,?,?,247,2183,342,1336,395,71,3,20,63,29,4442,3,1407
L'info de la Vallée,infodelavallee,#352727711503683,In Médias,2013-04-09,?,?,?,?,395,2103,683,1479,303,74,24,63,177,88,4994,2,2381
Journal Le Richelieu,JournalLeRichelieu,#427427237352523,Ici Médias,2013-05-01,736,809,806,873,60,63,5,61,9,2,0,0,0,0,140,1,16
Tout un matin,toutunmatin,#1387489814797612,Radio-Canada,2013-06-18,44497,45377,47659,48946,1009,20226,74831,65549,9956,7876,6692,5939,14754,14174,219997,6,48973
Le 15-18,Le1518,#493770360693544,Radio-Canada,2013-06-19,25569,27153,27084,28709,1511,28651,41208,68574,10453,7132,4503,6335,14212,11245,192313,5,32757
Le magazine de rue La Quête,laquete.magazinederue,#561464480580116,AMECQ,2013-07-30,?,?,?,?,88,181,186,619,220,114,1,11,12,4,1348,0,0
Cfyx93,cfyx93,#234573966695537,Groupe Radio Simard,2013-09-11,?,?,?,?,1086,15996,28838,7463,1103,268,4213,925,687,3324,62817,346,226346
Journal L'annonceur,-,#160916750782060,AMECQ,2013-10-10,?,?,?,?,17,136,53,422,79,6,0,1,0,1,698,0,0
Journal communautaire Le Cantonnier,lecantonnier,#275530495933919,AMECQ,2013-12-06,389,515,433,572,443,358,77,460,41,9,4,9,12,3,973,1,57
VIVA média,groupe.VIVAmedia,#633677300012546,Viva Média,2013-12-10,?,?,?,?,1131,23769,14065,17777,3192,1156,872,2799,3730,3149,70509,13,77735
Journal EPIK,-,#185830224948058,AMECQ,2013-12-15,?,?,?,?,34,16,8,50,6,0,0,0,2,0,82,0,0
Cign Coaticook,cign.cign,#884951561568276,ARCQ,2013-12-20,6330,7204,6617,7548,365,4240,6087,5973,1088,248,138,306,1144,115,19339,15,22809
Journal Accès,journalacces,#712744818743518 ,Hebdo privé indépendant,2014-01-24,12696,12753,13914,13993,1348,11004,7894,17252,2627,762,615,959,1159,1238,43510,109,293448
